Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
c6gn.16xlarge,c6gn,16xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,0,-,-,0,supported,default,100 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,TRUE,-,FALSE,38000,160000,4750,38000,160000,4750,-,2.7648 USD per Hour,2.8898 USD per Hour,3.456 USD per Hour,2.8768 USD per Hour,TRUE,FALSE
m8id.16xlarge,m8id,16xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,64,x86_64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",2,"1,2",3.9,256,3800,TRUE,ssd,1,supported,default,30 Gigabit,required,16,64,64,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,-,-,TRUE,20000,80000,2500,20000,80000,2500,7.12064 USD per Hour,4.17664 USD per Hour,4.30164 USD per Hour,4.86784 USD per Hour,4.28864 USD per Hour,FALSE,TRUE
x1e.2xlarge,x1e,2xlarge,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,FALSE,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.3,244,240,TRUE,ssd,1,supported,default,Up to 10 Gigabit,supported,4,15,15,TRUE,"cluster, partition, spread",0,0,TRUE,unsupported,ebs,TRUE,-,-,TRUE,1000,7400,125,1000,7400,125,2.036 USD per Hour,1.668 USD per Hour,1.768 USD per Hour,1.783 USD per Hour,1.682 USD per Hour,FALSE,FALSE
c7i.2xlarge,c7i,2xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.2,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,TRUE,-,TRUE,2500,12000,312.5,10000,40000,1250,0.725 USD per Hour,0.357 USD per Hour,0.482 USD per Hour,0.4722 USD per Hour,0.371 USD per Hour,FALSE,FALSE
r7iz.12xlarge,r7iz,12xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,48,x86_64,24,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",2,"1,2",3.9,384,0,-,-,0,supported,default,25 Gigabit,required,8,30,30,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,19000,76000,2375,19000,76000,2375,6.672 USD per Hour,4.464 USD per Hour,4.589 USD per Hour,4.9824 USD per Hour,4.548 USD per Hour,TRUE,FALSE
c6gd.metal,c6gd,metal,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,TRUE,,64,arm64,64,-,1,-,2.5,128,3800,TRUE,ssd,2,supported,default,25 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,-,-,TRUE,19000,80000,2375,19000,80000,2375,-,2.4576 USD per Hour,2.5826 USD per Hour,3.1488 USD per Hour,2.5696 USD per Hour,FALSE,FALSE
u7i-6tb.112xlarge,u7i-6tb,112xlarge,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,FALSE,nitro,448,x86_64,224,"8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124,128,132,136,140,144,148,152,156,160,164,168,172,176,180,184,188,192,196,200,204,208,212,216,220,224",2,"1,2",1.9,6144,0,-,-,0,supported,default,100 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,100000,560000,12500,100000,560000,12500,83.398 USD per Hour,62.79 USD per Hour,62.915 USD per Hour,67.0908 USD per Hour,63.574 USD per Hour,TRUE,FALSE
m5d.xlarge,m5d,xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",3.1,16,150,TRUE,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,TRUE,-,TRUE,1150,6000,143.75,4750,18750,593.75,0.41 USD per Hour,0.226 USD per Hour,0.282 USD per Hour,0.284 USD per Hour,0.233 USD per Hour,FALSE,FALSE
r8i.48xlarge,r8i,48xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,192,x86_64,96,"6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96",2,"1,2",3.9,1536,0,-,-,0,supported,default,75 Gigabit,required,24,64,64,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,60000,240000,7500,60000,240000,7500,22.16832 USD per Hour,13.33632 USD per Hour,13.46132 USD per Hour,15.17952 USD per Hour,13.67232 USD per Hour,TRUE,TRUE
r5dn.8xlarge,r5dn,8xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,256,1200,TRUE,ssd,2,supported,default,25 Gigabit,required,8,30,30,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,-,-,TRUE,6800,30000,850,6800,30000,850,4.144 USD per Hour,2.672 USD per Hour,-,3.0176 USD per Hour,2.728 USD per Hour,FALSE,FALSE
